sample1,sample2,name1,time1,rep1,name2,time2,rep2,pearson_cor,spearman_cor,comparison_type
Guy11_0_3,mst7_4_1,Guy11,0,3,mst7,4,1,0.7462023563256184,0.7533281377954105,"Different strains, different time"
Guy11_2_3,mst7_4_1,Guy11,2,3,mst7,4,1,0.9454675209208154,0.9452027482574512,"Different strains, different time"
Guy11_4_3,mst7_4_1,Guy11,4,3,mst7,4,1,0.7988413731381271,0.8123272316127057,"Different strain, same time"
Guy11_24_3,mst7_4_1,Guy11,24,3,mst7,4,1,0.5828394343153276,0.6034814938534657,"Different strains, different time"
pmk1_0_1,mst7_4_1,pmk1,0,1,mst7,4,1,0.760986975445777,0.7633057396239646,"Different strains, different time"
pmk1_2_1,mst7_4_1,pmk1,2,1,mst7,4,1,0.9171699068983573,0.9129842672387732,"Different strains, different time"
pmk1_4_1,mst7_4_1,pmk1,4,1,mst7,4,1,0.9019966800792625,0.8941754103623099,"Different strain, same time"
pmk1_24_1,mst7_4_1,pmk1,24,1,mst7,4,1,0.7131264800768147,0.7117711601157674,"Different strains, different time"
pmk1_0_2,mst7_4_1,pmk1,0,2,mst7,4,1,0.7617139927690444,0.7635694891137819,"Different strains, different time"
pmk1_2_2,mst7_4_1,pmk1,2,2,mst7,4,1,0.9157209836204231,0.9113771242800865,"Different strains, different time"
pmk1_4_2,mst7_4_1,pmk1,4,2,mst7,4,1,0.8969630175357954,0.8900112045825997,"Different strain, same time"
pmk1_24_2,mst7_4_1,pmk1,24,2,mst7,4,1,0.7131264800768147,0.7117711601157674,"Different strains, different time"
Guy11M_0_1,mst7_4_1,Guy11M,0,1,mst7,4,1,0.7007711844094073,0.7084343573676634,"Different strains, different time"
Guy11M_2_1,mst7_4_1,Guy11M,2,1,mst7,4,1,0.7467767469546805,0.7567090328877518,"Different strains, different time"
Guy11M_4_1,mst7_4_1,Guy11M,4,1,mst7,4,1,0.8875271896806112,0.8858521255186375,"Different strain, same time"
Guy11M_24_1,mst7_4_1,Guy11M,24,1,mst7,4,1,0.5754734467237723,0.5791233395448983,"Different strains, different time"
